food_id,food_name,amount,category,calories,protein,carbohydrate,sugar,fat,sodium,food_type,category_encoded,sugar_to_carb_ratio,fat_to_calorie_ratio,calories_scaled,protein_scaled,carbohydrate_scaled,sugar_scaled,fat_scaled,sodium_scaled,category_encoded_scaled,sugar_to_carb_ratio_scaled,fat_to_calorie_ratio_scaled,food_type_encoded
42,"แฮมเบอร์เกอร์, ไก่",1  ชิ้น / 90 g,ฟาสต์ฟู้ด,294,13.29,23.07,0,15.99,515,สมดุล,2,0,0.054387755,0.260120938,0.062293933,-0.283488919,-0.735826334,0.60907966,0.082884883,-0.20812346,-0.860787093,1.002348022,0
44,"ขนมปัง, หน้าเนย",100 g,ขนม,310,7,30,2,18,420,สมดุล,0,0.066666667,0.058064516,0.358834959,-0.444347693,0.006204501,-0.53701945,0.793264774,-0.086295896,-1.732407959,-0.678488949,1.15434616,0
46,ครัวซอง,100 g,ขนม,406,8,46,11,21,467,สมดุล,0,0.239130435,0.051724138,0.951119087,-0.363800535,0.675049337,0.35761153,1.068167929,-0.002595932,-1.732407959,-0.206891578,0.892233482,0
60,ข้าวเหนียวหน้าสังขยา,100 g,ขนม,199,8.4,26.2,4.7,6.3,77.2,สมดุล,0,0.179389313,0.031658291,-0.325993564,-0.331581671,-0.152646148,-0.268630156,-0.278857531,-0.696771379,-1.732407959,-0.370252012,0.062706822,0
61,"โดนัท, โรยน้ำตาล", 100 g,ขนม,443,5.95,59.48,30.42,20.17,0,สมดุล,0,0.511432414,0.045530474,1.179395262,-0.52892221,1.238551111,2.288026377,0.99211139,-0.834253022,-1.732407959,0.537710601,0.636186007,0
62,กระเพาะปลา ,1 ถ้วย / 250 g,อาหารจานหลัก,240,8,49,2,15,1230,สมดุล,3,0.040816327,0.0625,-0.073038884,-0.363800535,0.800457743,-0.53701945,0.518361619,1.356192848,0.554018789,-0.749175984,1.337710072,0
65,ก๋วยเตี๋ยวคั่วไก่,1 ชาม / 250 g,อาหารจานหลัก,429,21,5,0,33,941,สมดุล,3,0,0.076923077,1.093020493,0.683312524,-1.038865556,-0.735826334,2.167780551,0.841527111,0.554018789,-0.860787093,1.933963355,0
66,ก๋วยเตี๋ยวต้มยำหมู,1 ชาม / 250 g,อาหารจานหลัก,506,23,54,0,22,2507,สมดุล,3,0,0.043478261,1.568081721,0.844406841,1.009471755,-0.735826334,1.159802315,3.630338682,0.554018789,-0.860787093,0.551347047,0
67,ก๋วยเตี๋ยววุ้นเส้น เย็นตาโฟ,1 ชาม / 250 g,อาหารจานหลัก,210,5.6,31.7,0,6.8,1362.5,สมดุล,3,0,0.032380952,-0.258127674,-0.557113715,0.077269264,-0.735826334,-0.233040339,1.592155513,0.554018789,-0.860787093,0.092581789,0
68,ก๋วยเตี๋ยวเส้นบะหมี่หมูแดง น้ำ,1 ชาม / 250 g,อาหารจานหลัก,170,9,21.3,0,5.5,990,สมดุล,3,0,0.032352941,-0.504912727,-0.283253376,-0.357479879,-0.735826334,-0.35216504,0.928788776,0.554018789,-0.860787093,0.091423799,0
69,ก๋วยเตี๋ยวเส้นเล็ก หมู น้ำตก,1 ชาม / 250 g,อาหารจานหลัก,202,11.53,29.1,0,4.45,1157.5,สมดุล,3,0,0.022029703,-0.307484685,-0.079469066,-0.031418021,-0.735826334,-0.448381144,1.227081201,0.554018789,-0.860787093,-0.335341218,0
71,เกาเหลาหมูตุ๋น,1 ชาม / 300 g,อาหารจานหลัก,372,21,18,14,24,299,สมดุล,3,0.777777777,0.064516129,0.741351792,0.683312524,-0.495429127,0.655821856,1.343071085,-0.301778782,0.554018789,1.266024579,1.421057306,0
74,"ขนมจีน, แกงเขียวหวานไก่",1 ชาม / 300 g,อาหารจานหลัก,355,13,7,0,30,1768,สมดุล,3,0,0.084507042,0.636468144,0.038935257,-0.955259951,-0.735826334,1.892877395,2.31429031,0.554018789,-0.860787093,2.247486208,0
75,ข้าวกล้องราดแกงคั่วสับปะรด,1 ชาม / 300 g,อาหารจานหลัก,393,10,63,0,11,0,สมดุล,3,0,0.027989822,0.870913945,-0.202706218,1.385696975,-0.735826334,0.151824079,-0.834253022,0.554018789,-0.860787093,-0.088948546,0
76,ราดหน้าหมู,1 ชาม / 300 g,อาหารจานหลัก,420,13,63,15,13,1470,สมดุล,3,0.238095238,0.030952381,1.037493856,0.038935257,1.385696975,0.755225299,0.335092849,1.78359692,0.554018789,-0.209722295,0.033524321,0
77,ข้าวขาหมู,1 จาน / 300 g,อาหารจานหลัก,470,21,75,0,9,1210,สมดุล,3,0,0.019148936,1.345975173,0.683312524,1.887330602,-0.735826334,-0.031444692,1.320575842,0.554018789,-0.860787093,-0.454432773,0
78,ข้าวคลุกกะปิ,1 จาน / 300 g,อาหารจานหลัก,540,16,70,9,22,910,สมดุล,3,0.128571429,0.040740741,1.777849016,0.280576732,1.678316591,0.158804645,1.159802315,0.786320751,0.554018789,-0.509212102,0.438177342,0
79,ข้าวผัดหมู,1 จาน / 300 g,อาหารจานหลัก,410,13,59,4,14,710,สมดุล,3,0.06779661,0.034146341,0.975797593,0.038935257,1.218485766,-0.338212566,0.426727234,0.430150691,0.554018789,-0.67539915,0.165563375,0
80,ข้าวมันไก่,1 จาน / 300 g,อาหารจานหลัก,563,34,71,6,15,2066,สมดุล,3,0.084507042,0.026642984,1.919750422,1.730425584,1.720119393,-0.139405681,0.518361619,2.844983699,0.554018789,-0.629704939,-0.14462713,0
81,ข้าวราดแกงขี้เหล็ก,1 จาน / 300 g,อาหารจานหลัก,352,12,53,0,10,1547,สมดุล,3,0,0.028409091,0.617959265,-0.041611901,0.967668952,-0.735826334,0.060189693,1.920722393,0.554018789,-0.860787093,-0.071615869,0
82,ข้าวราดแกงเขียวหวานไก่,1 จาน / 300 g,อาหารจานหลัก,340,14,63,2,4,550,สมดุล,3,0.031746032,0.011764706,0.543923749,0.119482416,1.385696975,-0.53701945,-0.489616617,0.145214643,0.554018789,-0.773978453,-0.759698534,0
